,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
178654,1181767,2,10,4,SR Watson,SK Raina,TA Boult,0,0,0,0,0,,,,,Chennai Super Kings,Delhi Capitals
182980,1216508,2,0,5,Shubman Gill,SP Narine,TA Boult,0,0,0,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
136859,1082592,2,7,2,SPD Smith,AM Rahane,KH Pandya,0,0,0,0,0,,,,,Rising Pune Supergiant,Mumbai Indians
13047,336039,1,4,6,SE Marsh,DPMD Jayawardene,MS Gony,1,0,1,0,0,,,,,Kings XI Punjab,Chennai Super Kings
144149,1082624,1,18,2,MS Dhoni,MK Tiwary,AF Milne,1,0,1,0,0,,,,,Rising Pune Supergiant,Royal Challengers Bangalore
16186,392195,2,11,1,SK Warne,RA Jadeja,RR Powar,1,0,1,0,0,,,,,Rajasthan Royals,Kings XI Punjab
123483,980909,1,11,2,G Gambhir,MK Pandey,MJ McClenaghan,1,0,1,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
55547,501258,1,16,1,SW Tait,ND Doshi,RP Singh,1,0,1,0,0,,,,,Rajasthan Royals,Kochi Tuskers Kerala
107052,734035,1,4,4,VH Zol,YV Takawale,R Ashwin,1,0,1,0,0,,,,,Royal Challengers Bangalore,Chennai Super Kings
161032,1136605,2,8,3,V Kohli,AB de Villiers,CJ Dala,4,0,4,0,0,,,,,Royal Challengers Bangalore,Delhi Daredevils
40603,419161,2,13,5,SC Ganguly,BB McCullum,R Sathish,0,0,0,0,1,caught,SC Ganguly,DJ Bravo,,Kolkata Knight Riders,Mumbai Indians
142954,1082617,2,8,3,S Badree,TS Mills,CR Woakes,0,0,0,0,1,lbw,S Badree,,,Royal Challengers Bangalore,Kolkata Knight Riders
38279,419152,1,8,4,SR Tendulkar,SS Tiwary,PD Collingwood,1,0,1,0,0,,,,,Mumbai Indians,Delhi Daredevils
24916,392231,2,9,3,BB McCullum,BJ Hodge,M Muralitharan,4,0,4,0,0,,,,,Kolkata Knight Riders,Chennai Super Kings
63231,548325,2,14,8,LRPL Taylor,DPMD Jayawardene,KA Pollard,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
53439,501249,2,1,7,R Dravid,SR Watson,DE Bollinger,1,0,1,0,0,,,,,Rajasthan Royals,Chennai Super Kings
58379,501271,1,13,4,MEK Hussey,M Vijay,DL Vettori,2,0,2,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
58900,548307,1,1,3,BB McCullum,JH Kallis,RE van der Merwe,0,0,0,0,0,,,,,Kolkata Knight Riders,Delhi Daredevils
135765,981013,2,7,6,AB de Villiers,STR Binny,DS Kulkarni,1,0,1,0,0,,,,,Royal Challengers Bangalore,Gujarat Lions
91061,598059,1,17,1,DA Warner,IK Pathan,P Kumar,4,0,4,0,0,,,,,Delhi Daredevils,Kings XI Punjab
189939,1216537,1,14,2,KL Rahul,CH Gayle,BA Stokes,1,0,1,0,0,,,,,Kings XI Punjab,Rajasthan Royals
74632,548374,2,18,1,NV Ojha,Y Venugopal Rao,Azhar Mahmood,0,0,0,0,0,,,,,Delhi Daredevils,Kings XI Punjab
97553,729303,1,14,2,CJ Anderson,RG Sharma,RA Jadeja,4,0,4,0,0,,,,,Mumbai Indians,Chennai Super Kings
123745,980911,2,14,4,SK Raina,DJ Bravo,R Ashwin,2,0,2,0,0,,,,,Gujarat Lions,Rising Pune Supergiants
41742,501198,2,15,1,MK Tiwary,JH Kallis,R Ashwin,1,0,1,0,0,,,,,Kolkata Knight Riders,Chennai Super Kings
42867,501203,1,11,1,G Gambhir,JH Kallis,PP Ojha,1,0,1,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
189469,1216535,2,12,1,Ishan Kishan,SA Yadav,R Ashwin,2,0,2,0,0,,,,,Mumbai Indians,Delhi Capitals
157547,1136591,1,12,1,V Kohli,BB McCullum,KH Pandya,0,0,0,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
55947,501260,2,14,2,CK Langeveldt,A Mithun,PP Chawla,0,0,0,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
106314,734029,1,3,4,DR Smith,SK Raina,KV Sharma,0,0,0,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
1765,335989,1,9,5,ML Hayden,SK Raina,Harbhajan Singh,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
118481,829789,1,13,4,F du Plessis,MS Dhoni,Harbhajan Singh,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
73353,548369,1,11,3,Azhar Mahmood,DJ Hussey,UT Yadav,2,0,2,0,0,,,,,Kings XI Punjab,Delhi Daredevils
52397,501244,1,2,3,CH Gayle,TM Dilshan,P Kumar,1,0,1,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
59548,548310,2,2,3,NV Ojha,AJ Finch,Z Khan,0,0,0,0,0,,,,,Delhi Daredevils,Royal Challengers Bangalore
141632,1082612,1,2,2,HM Amla,SE Marsh,HH Pandya,0,1,1,0,0,,,,legbyes,Kings XI Punjab,Mumbai Indians
37151,419147,1,3,2,M Vijay,ML Hayden,RG Sharma,0,1,1,0,0,,,,wides,Chennai Super Kings,Deccan Chargers
44761,501211,1,2,4,M Vijay,MEK Hussey,Z Khan,0,0,0,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
3731,335997,1,19,1,LR Shukla,M Kartik,CRD Fernando,4,0,4,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
52263,501243,2,12,4,V Sehwag,IK Pathan,DW Steyn,2,0,2,0,0,,,,,Delhi Daredevils,Deccan Chargers
73883,548371,2,12,3,SD Chitnis,AC Gilchrist,VY Mahesh,0,0,0,0,0,,,,,Kings XI Punjab,Chennai Super Kings
46505,501220,2,0,3,SA Asnodkar,R Dravid,P Kumar,2,0,2,0,0,,,,,Rajasthan Royals,Kings XI Punjab
20664,392213,1,7,5,RV Uthappa,V Kohli,SK Warne,0,0,0,0,0,,,,,Royal Challengers Bangalore,Rajasthan Royals
192899,1237178,2,1,1,DA Warner,MK Pandey,NA Saini,0,0,0,0,0,,,,,Sunrisers Hyderabad,Royal Challengers Bangalore
123757,980911,2,16,4,RA Jadeja,DJ Bravo,M Ashwin,1,0,1,0,0,,,,,Gujarat Lions,Rising Pune Supergiants
113119,829739,2,13,2,G Gambhir,YK Pathan,AD Mathews,1,0,1,0,0,,,,,Kolkata Knight Riders,Delhi Daredevils
39767,419158,2,0,8,BB McCullum,SC Ganguly,YK Pathan,1,0,1,0,0,,,,,Kolkata Knight Riders,Rajasthan Royals
184730,1216515,2,17,5,RA Tripathi,EJG Morgan,K Rabada,0,0,0,0,0,,,,,Kolkata Knight Riders,Delhi Capitals
66318,548339,1,12,5,SE Marsh,DJ Hussey,JEC Franklin,0,1,1,0,0,,,,wides,Kings XI Punjab,Mumbai Indians
193397,1237181,1,1,6,AM Rahane,S Dhawan,JJ Bumrah,0,0,0,0,0,,,,,Delhi Capitals,Mumbai Indians
164259,1136619,1,7,3,WP Saha,KS Williamson,Kuldeep Yadav,1,0,1,0,0,,,,,Sunrisers Hyderabad,Kolkata Knight Riders
181150,1216501,2,8,1,SR Watson,AT Rayudu,CV Varun,4,0,4,0,0,,,,,Chennai Super Kings,Kolkata Knight Riders
164632,1136620,1,8,1,S Dhawan,KS Williamson,RA Jadeja,1,0,1,0,0,,,,,Sunrisers Hyderabad,Chennai Super Kings
162649,1136612,2,5,5,AT Rayudu,SR Watson,Avesh Khan,6,0,6,0,0,,,,,Chennai Super Kings,Delhi Daredevils
68161,548348,1,12,2,CL White,KC Sangakkara,SC Ganguly,1,0,1,0,0,,,,,Deccan Chargers,Pune Warriors
26735,392238,2,9,3,R Dravid,MK Pandey,M Muralitharan,0,0,0,0,0,,,,,Royal Challengers Bangalore,Chennai Super Kings
165703,1175360,1,7,5,SS Iyer,S Dhawan,Harbhajan Singh,0,0,0,0,0,,,,,Delhi Capitals,Chennai Super Kings
51312,501239,2,11,5,S Dhawan,DB Ravi Teja,YK Pathan,1,0,1,0,0,,,,,Deccan Chargers,Kolkata Knight Riders
47026,501222,1,10,2,G Gambhir,JH Kallis,Z Khan,3,0,3,0,0,,,,,Kolkata Knight Riders,Royal Challengers Bangalore
58936,548307,2,8,2,IK Pathan,GJ Maxwell,JH Kallis,0,0,0,0,0,,,,,Delhi Daredevils,Kolkata Knight Riders
71822,548363,1,17,5,HH Gibbs,RG Sharma,SP Narine,4,0,4,0,0,,,,,Mumbai Indians,Kolkata Knight Riders
97409,729303,1,3,5,AP Tare,CJ Anderson,R Ashwin,0,0,0,0,0,,,,,Mumbai Indians,Chennai Super Kings
9170,336020,2,16,6,Y Venugopal Rao,SB Styris,Mohammad Asif,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
30268,419119,1,15,2,R Sathish,KA Pollard,A Kumble,0,0,0,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
128689,980953,2,9,3,KL Rahul,AB de Villiers,MC Henriques,2,0,2,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
188725,1216532,1,8,4,JM Bairstow,DA Warner,I Sharma,1,0,1,0,0,,,,,Sunrisers Hyderabad,Delhi Capitals
104327,734013,1,12,1,DJ Hussey,SK Raina,YS Chahal,6,0,6,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
181790,1216503,1,6,4,Ishan Kishan,RG Sharma,JDS Neesham,1,0,1,0,0,,,,,Mumbai Indians,Kings XI Punjab
119086,829793,1,13,2,KV Sharma,MC Henriques,JA Morkel,1,0,1,0,0,,,,,Sunrisers Hyderabad,Delhi Daredevils
